Done Arranging Data, Took 0.009 seconds

Done Arranging Data, Took 0.010 seconds

Done with node:1, Took 5.015 seconds
Done with node:2, Took 3.096 seconds
Done with node:3, Took 4.243 seconds
Done with node:4, Took 2.691 seconds
Done with node:5, Took 3.264 seconds
Done with node:6, Took 1.537 seconds
Done with node:7, Took 4.087 seconds
Done with node:8, Took 2.231 seconds
Done with node:9, Took 3.006 seconds
Done with node:10, Took 1.439 seconds
Done Arranging Data, Took 0.004 seconds

Done with node:1, Took 5.095 seconds
Done with node:2, Took 5.367 seconds
Done with node:3, Took 5.200 seconds
Done with node:4, Took 5.305 seconds
Done with node:5, Took 5.066 seconds
Done with node:6, Took 5.050 seconds
Done with node:7, Took 4.014 seconds
Done with node:8, Took 4.042 seconds
Done with node:9, Took 2.382 seconds
Done with node:10, Took 1.446 seconds
Done Arranging Data, Took 0.005 seconds

Done with node:1, Took 5.033 seconds
Done with node:2, Took 5.351 seconds
Done with node:3, Took 5.279 seconds
Done with node:4, Took 5.387 seconds
Done with node:5, Took 5.122 seconds
Done with node:6, Took 5.052 seconds
Done with node:7, Took 4.147 seconds
Done with node:8, Took 3.962 seconds
Done with node:9, Took 2.416 seconds
Done with node:10, Took 1.439 seconds
Done Arranging Data, Took 0.004 seconds

Done with node:1, Took 17.326 seconds
Done with node:2, Took 15.114 seconds
Done with node:3, Took 16.145 seconds
Done with node:4, Took 17.014 seconds
Done with node:5, Took 16.696 seconds
Done with node:6, Took 14.721 seconds
Done with node:7, Took 16.957 seconds
Done with node:8, Took 15.970 seconds
Done with node:9, Took 15.997 seconds
Done with node:10, Took 15.535 seconds
Done Arranging Data, Took 0.002 seconds

Done with node:1, Took 1.674 seconds
Done with node:2, Took 4.790 seconds
Done with node:3, Took 2.854 seconds
Done with node:4, Took 1.503 seconds
Done with node:5, Took 2.689 seconds
Done with node:6, Took 2.516 seconds
Done with node:7, Took 1.888 seconds
Done with node:8, Took 4.697 seconds
Done with node:9, Took 3.352 seconds
Done with node:10, Took 1.325 seconds
Done Arranging Data, Took 0.001 seconds

Done with node:1, Took 1.673 seconds
Done with node:2, Took 4.722 seconds
Done with node:3, Took 2.819 seconds
Done with node:4, Took 1.517 seconds
Done with node:5, Took 3.203 seconds
Done with node:6, Took 2.802 seconds
Done with node:7, Took 1.934 seconds
Done with node:8, Took 4.964 seconds
Done with node:9, Took 3.405 seconds
Done with node:10, Took 1.251 seconds
Done Arranging Data, Took 0.001 seconds

Done with node:1, Took 3.878 seconds
Done Arranging Data, Took 0.001 seconds

Done with node:1, Took 3.929 seconds
Done with node:2, Took 1.998 seconds
Done with node:3, Took 4.368 seconds
Done with node:4, Took 3.747 seconds
Done with node:5, Took 4.522 seconds
Done with node:6, Took 4.861 seconds
Done with node:7, Took 4.961 seconds
Done with node:8, Took 3.927 seconds
Done with node:9, Took 2.774 seconds
Done with node:10, Took 1.750 seconds
Done Arranging Data, Took 0.001 seconds

Done with node:1, Took 3.856 seconds
Done with node:2, Took 1.990 seconds
Done with node:3, Took 4.454 seconds
Done with node:4, Took 3.774 seconds
Done with node:5, Took 4.568 seconds
Done with node:6, Took 4.911 seconds
Done with node:7, Took 5.082 seconds
Done with node:8, Took 4.065 seconds
Done with node:9, Took 2.894 seconds
Done with node:10, Took 1.822 seconds
Done Arranging Data, Took 0.001 seconds

Done with node:1, Took 3.955 seconds
Done with node:2, Took 1.926 seconds
Done with node:3, Took 4.383 seconds
Done with node:4, Took 3.893 seconds
Done with node:5, Took 4.745 seconds
Done with node:6, Took 5.069 seconds
Done with node:7, Took 5.071 seconds
Done with node:8, Took 3.908 seconds
Done with node:9, Took 2.746 seconds
Done with node:10, Took 1.746 seconds
Done Arranging Data, Took 0.002 seconds

Done with node:1, Took 3.809 seconds
Done with node:2, Took 1.896 seconds
Done with node:3, Took 4.338 seconds
Done with node:4, Took 3.732 seconds
Done with node:5, Took 4.516 seconds
Done with node:6, Took 4.862 seconds
Done with node:7, Took 4.910 seconds
Done with node:8, Took 3.902 seconds
Done with node:9, Took 2.740 seconds
Done with node:10, Took 1.746 seconds
Done Arranging Data, Took 0.010 seconds

Done with node:1, Took 59.881 seconds
Done with node:2, Took 52.051 seconds
Done with node:3, Took 22.236 seconds
Done with node:4, Took 25.515 seconds
Done with node:5, Took 44.473 seconds
Done with node:6, Took 15.661 seconds
Done with node:7, Took 29.095 seconds
Done with node:8, Took 17.416 seconds
Done with node:9, Took 16.327 seconds
Done with node:10, Took 12.796 seconds
Done Arranging Data, Took 0.217 seconds

Done Arranging Data, Took 0.059 seconds

Done with node:1, Took 157.605 seconds
Done with node:2, Took 133.384 seconds
Done with node:3, Took 50.058 seconds
Done with node:4, Took 60.424 seconds
Done with node:5, Took 117.596 seconds
Done with node:6, Took 39.137 seconds
Done with node:7, Took 65.256 seconds
Done with node:8, Took 38.047 seconds
Done with node:9, Took 39.982 seconds
Done with node:10, Took 31.997 seconds
Done Arranging Data, Took 0.144 seconds

Done with node:1, Took 125.999 seconds
Done with node:2, Took 103.320 seconds
Done with node:3, Took 50.146 seconds
Done with node:4, Took 54.005 seconds
Done with node:5, Took 77.835 seconds
Done with node:6, Took 31.863 seconds
Done with node:7, Took 60.323 seconds
Done with node:8, Took 37.131 seconds
Done with node:9, Took 38.138 seconds
Done with node:10, Took 27.908 seconds
Done Arranging Data, Took 0.042 seconds

Done with node:1, Took 16.413 seconds
Done with node:2, Took 12.318 seconds
Done with node:3, Took 20.158 seconds
Done with node:4, Took 40.093 seconds
Done with node:5, Took 12.730 seconds
Done with node:6, Took 22.809 seconds
Done with node:7, Took 11.720 seconds
Done with node:8, Took 15.225 seconds
Done with node:9, Took 16.690 seconds
Done with node:10, Took 29.452 seconds
Done Arranging Data, Took 0.051 seconds

Done with node:1, Took 11.437 seconds
Done with node:2, Took 13.138 seconds
Done with node:3, Took 20.788 seconds
Done with node:4, Took 43.027 seconds
Done with node:5, Took 13.252 seconds
Done with node:6, Took 31.756 seconds
Done with node:7, Took 14.056 seconds
Done with node:8, Took 16.915 seconds
Done with node:9, Took 16.061 seconds
Done with node:10, Took 28.549 seconds
